Date,Ticker,Name,Signal_Type,Buy_Price,Current_Price,PnL_Pct,Hold_Period,Stop_Loss,Reason
2026-06-29,600105.SH,永鼎股份,止损触发,65.71,65.71,0.0,5-9天,71.20元,现价65.71已跌破止损位71.2元，按风控纪律应立即止损离场
2026-06-29,000630.SZ,铜陵有色,止损触发,7.93,7.93,0.0,5-12天,20.10元,现价7.93已跌破止损位20.1元，按风控纪律应立即止损离场
2026-06-29,600392.SH,盛和资源,止损触发,34.48,34.48,0.0,5-12天,50.50元,现价34.48已跌破止损位50.5元，按风控纪律应立即止损离场
2026-06-29,300475.SZ,香农芯创,止损触发,287.8,287.8,0.0,5-12天,640.00元,现价287.8已跌破止损位640.0元，按风控纪律应立即止损离场
2026-06-29,688256.SH,寒武纪,持有到期,1507.46,1507.46,0.0,5-10天,1380.00元,已持有10天，达到/超过建议持股周期（5-10天）上限，按纪律应清仓离场
2026-06-29,002281.SZ,光迅科技,持有到期,266.2,266.2,0.0,5-10天,240.00元,已持有10天，达到/超过建议持股周期（5-10天）上限，按纪律应清仓离场
2026-06-29,601991.SH,大唐发电,止损触发,8.22,8.22,0.0,6-12天,580.00元,现价8.22已跌破止损位580.0元，按风控纪律应立即止损离场
2026-06-29,601318.SH,中国平安,止损触发,49.38,49.38,0.0,6-12天,580.00元,现价49.38已跌破止损位580.0元，按风控纪律应立即止损离场
2026-06-29,600183.SH,生益科技,止损触发,180.15,180.15,0.0,5-12天,538.00元,现价180.15已跌破止损位538.0元，按风控纪律应立即止损离场
2026-06-29,002463.SZ,沪电股份,持有到期,146.55,146.55,0.0,3-7天,136.00元,已持有11天，达到/超过建议持股周期（3-7天）上限，按纪律应清仓离场
2026-06-29,301217.SZ,铜冠铜箔,止损触发,181.69,181.69,0.0,5-12天,538.00元,现价181.69已跌破止损位538.0元，按风控纪律应立即止损离场
2026-06-29,600111.SH,北方稀土,止损触发,50.32,50.32,0.0,5-12天,538.00元,现价50.32已跌破止损位538.0元，按风控纪律应立即止损离场
2026-06-29,601958.SH,金钼股份,止损触发,28.47,28.47,0.0,5-12天,538.00元,现价28.47已跌破止损位538.0元，按风控纪律应立即止损离场
2026-06-29,601899.SH,紫金矿业,止损触发,30.29,30.29,0.0,5-12天,1150.00元,现价30.29已跌破止损位1150.0元，按风控纪律应立即止损离场
2026-06-29,002156.SZ,通富微电,持有到期,62.93,62.93,0.0,3-7天,59.50元,已持有12天，达到/超过建议持股周期（3-7天）上限，按纪律应清仓离场
2026-06-29,603993.SH,洛阳钼业,止损触发,20.03,20.03,0.0,5-12天,1150.00元,现价20.03已跌破止损位1150.0元，按风控纪律应立即止损离场
2026-06-29,600498.SH,烽火通信,持有到期,60.99,60.99,0.0,8-12天,55.18元,已持有17天，达到/超过建议持股周期（8-12天）上限，按纪律应清仓离场
2026-06-29,688012.SH,中微公司,持有到期,303.12,303.12,0.0,10-15天,275.50元,已持有17天，达到/超过建议持股周期（10-15天）上限，按纪律应清仓离场
2026-06-29,000988.SZ,华工科技,持有到期,155.53,155.53,0.0,5-8天,148.00元,已持有19天，达到/超过建议持股周期（5-8天）上限，按纪律应清仓离场
2026-06-29,688008.SH,澜起科技,持有到期,236.4,236.4,0.0,5-7天,222.00元,已持有19天，达到/超过建议持股周期（5-7天）上限，按纪律应清仓离场
2026-06-29,002384.SZ,东山精密,止损触发,224.4,224.4,0.0,5-10天,325.00元,现价224.4已跌破止损位325.0元，按风控纪律应立即止损离场
2026-06-29,300476.SZ,胜宏科技,持有到期,342.55,342.55,0.0,5-10天,325.00元,已持有19天，达到/超过建议持股周期（5-10天）上限，按纪律应清仓离场
2026-06-29,600031.SH,三一重工,持有到期,19.51,19.51,0.0,7-15天,18.5元,已持有20天，达到/超过建议持股周期（7-15天）上限，按纪律应清仓离场
2026-06-29,300502.SZ,新易盛,持有到期,775.94,775.94,0.0,3-7天,nan,已持有24天，达到/超过建议持股周期（3-7天）上限，按纪律应清仓离场
2026-06-29,600487.SH,亨通光电,持有到期,97.87,97.87,0.0,8-12天,88元,已持有24天，达到/超过建议持股周期（8-12天）上限，按纪律应清仓离场
2026-06-29,300394.SZ,天孚通信,止损触发,457.0,457.0,0.0,3-5天,1130元,现价457.0已跌破止损位1130.0元，按风控纪律应立即止损离场
2026-06-29,600863.SH,华能蒙电,止损触发,7.92,7.92,0.0,5-12天,17.20元,现价7.92已跌破止损位17.2元，按风控纪律应立即止损离场
2026-06-29,000977.SZ,浪潮信息,持有到期,64.14,64.14,0.0,7-15天,nan,已持有27天，达到/超过建议持股周期（7-15天）上限，按纪律应清仓离场
2026-06-29,600011.SH,华能国际,止损触发,9.76,9.76,0.0,5-12天,17.20元,现价9.76已跌破止损位17.2元，按风控纪律应立即止损离场
2026-06-29,301171.SZ,易点天下,持有到期,46.43,46.43,0.0,5-10天,nan,已持有27天，达到/超过建议持股周期（5-10天）上限，按纪律应清仓离场
2026-06-29,001896.SZ,豫能控股,持有到期,17.65,17.65,0.0,5-12天,17.20元,已持有27天，达到/超过建议持股周期（5-12天）上限，按纪律应清仓离场
2026-06-29,600089.SH,特变电工,持有到期,26.46,26.46,0.0,5-10天,25.1元,已持有27天，达到/超过建议持股周期（5-10天）上限，按纪律应清仓离场
